TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0110,44,5,1220,529762,0,41884,1,X,01,2015
1,0110,44,6,1220,2987,0,377,1,X,01,2015
1,0110,84,5,1220,4927,0,146,1,X,01,2015
1,0110,85,5,1220,4675,0,102,2,X,01,2015
1,0110,87,5,1220,108158,0,1818,1,X,01,2015
1,0115,02,5,1220,1056001,0,12937,1,X,01,2015
1,0115,03,5,1220,7559478,0,180495,1,X,01,2015
1,0115,03,5,1220,99641,0,4251,2,X,01,2015
1,0115,04,5,1220,76069,0,3712,1,X,01,2015
1,0115,05,5,1220,18997,0,1408,1,X,01,2015
1,0115,06,5,1220,13258,0,1770,1,X,01,2015
1,0115,06,5,1220,23286,0,3109,2,X,01,2015
1,0115,07,5,1220,78914,0,6450,1,X,01,2015
1,0115,07,5,1220,6903,0,1140,2,X,01,2015
1,0115,08,5,1220,147861,0,15963,1,X,01,2015
1,0115,08,5,1220,73021,0,4197,2,X,01,2015
1,0115,09,5,1220,14363,0,489,1,X,01,2015
1,0115,09,5,1220,15317,0,656,2,X,01,2015
1,0115,11,5,1220,14031,0,2180,1,X,01,2015
1,0115,12,5,1220,78496,0,10550,1,X,01,2015
1,0115,12,5,1220,4010,0,78,2,X,01,2015
1,0115,13,5,1220,3102,0,82,1,X,01,2015
1,0115,15,5,1220,78656,0,7225,1,X,01,2015
1,0115,15,5,1220,18506,0,536,2,X,01,2015
1,0115,16,5,1220,63093,0,2384,1,X,01,2015
1,0115,17,5,1220,88711,0,5520,1,X,01,2015
1,0115,17,5,1220,49011,0,7424,2,X,01,2015
1,0115,18,5,1220,233638,0,2991,1,X,01,2015
1,0115,18,5,1220,4843,0,47,2,X,01,2015
1,0115,19,5,1220,398943,0,28946,1,X,01,2015
1,0115,19,5,1220,3730,0,601,2,X,01,2015
1,0115,20,5,1220,155374,0,20639,1,X,01,2015
1,0115,21,5,1220,76130,0,4664,1,X,01,2015
1,0115,22,5,1220,130622,0,6285,1,X,01,2015
1,0115,23,5,1220,8228,0,662,1,X,01,2015
1,0115,25,5,1220,42521,0,3269,1,X,01,2015
1,0115,25,5,1220,7781,0,273,2,X,01,2015
1,0115,27,5,1220,263305,0,19569,1,X,01,2015
1,0115,27,5,1220,27537,0,823,2,X,01,2015
1,0115,27,6,1220,1910701,0,113837,1,X,01,2015
1,0115,27,7,1220,9373827,0,0,1,X,01,2015
1,0115,28,5,1220,755442,0,46352,1,X,01,2015
1,0115,28,5,1220,13863,0,512,2,X,01,2015
1,0115,29,5,1220,540729,0,31260,1,X,01,2015
1,0115,29,5,1220,66348,0,2982,2,X,01,2015
1,0115,29,6,1220,310383,0,29696,1,X,01,2015
1,0115,30,5,1220,63198,0,1856,1,X,01,2015
1,0115,31,5,1220,4008,0,98,1,X,01,2015
1,0115,32,5,1220,632327,0,21179,1,X,01,2015
1,0115,32,5,1220,21230,0,1313,2,X,01,2015
1,0115,33,5,1220,121559,0,6783,1,X,01,2015
1,0115,33,5,1220,3514,0,372,2,X,01,2015
1,0115,34,5,1220,341964,0,18281,1,X,01,2015
1,0115,34,5,1220,57398,0,3712,2,X,01,2015
1,0115,35,5,1220,195938,0,13245,1,X,01,2015
1,0115,35,5,1220,3622,0,160,2,X,01,2015
